"Metabolite","Overall_pval","1902 End - 1902 Onset_ESTS","1902 End - 1902 Onset_PVALS","1902 End - 1902 PreSymp_ESTS","1902 End - 1902 PreSymp_PVALS","1902 End - Control End_ESTS","1902 End - Control End_PVALS","1902 End - Control Onset_ESTS","1902 End - Control Onset_PVALS","1902 End - Control PreSymp_ESTS","1902 End - Control PreSymp_PVALS","1902 End - WT End_ESTS","1902 End - WT End_PVALS","1902 End - WT Onset_ESTS","1902 End - WT Onset_PVALS","1902 End - WT PreSymp_ESTS","1902 End - WT PreSymp_PVALS","1902 Onset - 1902 PreSymp_ESTS","1902 Onset - 1902 PreSymp_PVALS","1902 Onset - Control Onset_ESTS","1902 Onset - Control Onset_PVALS","1902 Onset - Control PreSymp_ESTS","1902 Onset - Control PreSymp_PVALS","1902 Onset - WT Onset_ESTS","1902 Onset - WT Onset_PVALS","1902 Onset - WT PreSymp_ESTS","1902 Onset - WT PreSymp_PVALS","1902 PreSymp - Control PreSymp_ESTS","1902 PreSymp - Control PreSymp_PVALS","1902 PreSymp - WT PreSymp_ESTS","1902 PreSymp - WT PreSymp_PVALS","Control End - 1902 Onset_ESTS","Control End - 1902 Onset_PVALS","Control End - 1902 PreSymp_ESTS","Control End - 1902 PreSymp_PVALS","Control End - Control Onset_ESTS","Control End - Control Onset_PVALS","Control End - Control PreSymp_ESTS","Control End - Control PreSymp_PVALS","Control End - WT End_ESTS","Control End - WT End_PVALS","Control End - WT Onset_ESTS","Control End - WT Onset_PVALS","Control End - WT PreSymp_ESTS","Control End - WT PreSymp_PVALS","Control Onset - 1902 PreSymp_ESTS","Control Onset - 1902 PreSymp_PVALS","Control Onset - Control PreSymp_ESTS","Control Onset - Control PreSymp_PVALS","Control Onset - WT Onset_ESTS","Control Onset - WT Onset_PVALS","Control Onset - WT PreSymp_ESTS","Control Onset - WT PreSymp_PVALS","Control PreSymp - WT PreSymp_ESTS","Control PreSymp - WT PreSymp_PVALS","WT End - 1902 Onset_ESTS","WT End - 1902 Onset_PVALS","WT End - 1902 PreSymp_ESTS","WT End - 1902 PreSymp_PVALS","WT End - Control Onset_ESTS","WT End - Control Onset_PVALS","WT End - Control PreSymp_ESTS","WT End - Control PreSymp_PVALS","WT End - WT Onset_ESTS","WT End - WT Onset_PVALS","WT End - WT PreSymp_ESTS","WT End - WT PreSymp_PVALS","WT Onset - 1902 PreSymp_ESTS","WT Onset - 1902 PreSymp_PVALS","WT Onset - Control PreSymp_ESTS","WT Onset - Control PreSymp_PVALS","WT Onset - WT PreSymp_ESTS","WT Onset - WT PreSymp_PVALS"
"30",0.303343867026573,0.171481519402121,0.329689906787906,0.0317529321727515,0.855822945925345,0.059090203047537,0.750010461262534,0.00393871667963955,0.982014745031055,-0.158498725384087,0.367143620237429,0.0234565781015282,0.893216140427443,0.161715545523019,0.357614547355456,0.326736235830032,0.0679670233177572,-0.13972858722937,0.425989428660278,-0.167542802722482,0.340770164067591,-0.329980244786208,0.0654034856838871,-0.00976597387910261,0.955426175413039,0.155254716427911,0.37691888510759,-0.190251657556838,0.28025848951313,0.294983303657281,0.0979205890060705,0.112391316354584,0.545260669492847,-0.0273372708747854,0.88274307433946,-0.0551514863678974,0.766149415113832,-0.217588928431624,0.244955888051031,-0.0356336249460088,0.847559711214327,0.102625342475482,0.580564788869974,0.267646032782495,0.154687640353188,0.027814215493112,0.873538911483489,-0.162437442063726,0.355498606518426,0.157776828843379,0.369304555528865,0.322797519150393,0.0711949754536182,0.485234961214119,0.00832213394623211,0.148024941300593,0.399300552024503,0.00829635407122331,0.962128085277978,-0.0195178614218887,0.911061266554614,-0.181955303485615,0.301421610076574,0.13825896742149,0.430828021854671,0.303279657728504,0.0891875241233681,-0.129962613350267,0.458760660515393,-0.320214270907105,0.0733825189703615,0.165020690307014,0.347994540426059
"35",0.0576833100021947,-0.37745899266349,0.0827097414257724,0.0718461125243745,0.73587755272562,-0.0296457208557506,0.895523690247054,-0.177417910834242,0.406810322965255,-0.38340326345665,0.0781842575804365,0.250976263742141,0.242927726825366,0.0889657841379993,0.676304283588786,0.0926417519783749,0.66376818929864,0.449305105187864,0.04060087588498,0.200041081829248,0.350280800380739,-0.00594427079316052,0.977717052569439,0.466424776801489,0.0339370351991247,0.470100744641865,0.0326402022946072,-0.455249375981025,0.0381660999659717,0.0207956394540004,0.922163253694959,-0.347813271807739,0.129682083317699,0.101491833380125,0.653455272034817,-0.147772189978491,0.51399106366947,-0.353757542600899,0.123464521582529,0.280621984597892,0.218835252271254,0.11861150499375,0.599986170235598,0.122287472834126,0.58877945123932,0.249264023358617,0.246094739960017,-0.205985352622408,0.336332138524604,0.266383694972241,0.215766590057402,0.270059662812617,0.209636597104826,0.476045015435025,0.0306366394417545,-0.628435256405631,0.00529327832043821,-0.179130151217767,0.402342373662501,-0.428394174576384,0.0502906209786526,-0.634379527198792,0.00492020791808192,-0.162010479604142,0.448388081843617,-0.158334511763767,0.458668411238066,-0.0171196716136248,0.935887909717623,-0.472369047594649,0.031862233242347,0.00367596784037562,0.986218955438228
"49",0.43474678376132,0.698493733875236,0.0829975561884278,0.469661435992655,0.238219235270166,-0.0319053604509923,0.939177578051661,0.595265285034921,0.137279823047411,0.259867937168807,0.511077740706613,0.307468416422884,0.437412628453268,0.665385868572401,0.098001048288216,0.703320230200887,0.0809813240965412,-0.228832297882581,0.562534252930531,-0.103228448840315,0.793526538066854,-0.438625796706429,0.270065890621023,-0.0331078653028345,0.933070955104899,0.00482649632565087,0.990231305779401,-0.209793498823848,0.59534486204277,0.233658794208232,0.55436337083836,0.730399094326228,0.0872515782711413,0.501566796443647,0.235079962017447,0.627170645485913,0.139833814334103,0.291773297619799,0.486814011277751,0.339373776873876,0.419181998946927,0.697291229023394,0.101934513304967,0.735225590651879,0.0852673874271865,-0.125603849042266,0.750188552830669,-0.335397347866115,0.397322036862463,0.0701205835374804,0.858851018430035,0.108054945165966,0.784116505278882,0.44345229303208,0.264922171916353,0.391025317452352,0.324633161923142,0.162193019569771,0.681117075552692,0.287796868612037,0.467056770757108,-0.0476004792540777,0.903899136331962,0.357917452149517,0.366737180895146,0.395851813778003,0.318780384836462,-0.195724432579747,0.620162163736627,-0.405517931403595,0.307276805972415,0.0379343616284854,0.923343355727855
"50",0.528397622039492,0.523592883933228,0.305524603521807,-0.014233412397963,0.977608721167246,-0.0327564403022601,0.951440993817569,0.425451273292135,0.403867394244548,-0.241932481869513,0.633868173300499,0.543723823264616,0.287587895711162,0.685349919440249,0.182168684418363,0.564816354894629,0.269603614644144,-0.537826296331191,0.292764198837098,-0.0981416106410929,0.846586947398223,-0.765525365802741,0.137400377062406,0.161757035507021,0.749925399341259,0.041223470961401,0.93521490123266,-0.22769906947155,0.653899097412369,0.579049767292592,0.257931490211045,0.556349324235488,0.304671740723756,0.0185230279042971,0.972528933412433,0.458207713594395,0.396741069424128,-0.209176041567252,0.697672481955952,0.576480263566876,0.287773735321539,0.71810635974251,0.187393944756942,0.597572795196889,0.270787949425706,-0.439684685690098,0.38848574546146,-0.667383755161648,0.193605930916734,0.259898646148114,0.608979745932577,0.139365081602494,0.783572126435933,0.806748836764142,0.11808924564438,-0.0201309393313875,0.968335371197921,-0.557957235662579,0.2753615565467,-0.11827254997248,0.815658603519889,-0.785656305134128,0.127673534023049,0.141626096175634,0.780154206961957,0.0210925316300135,0.966823739501476,-0.699583331838213,0.173484529607656,-0.927282401309762,0.0740162997250342,-0.12053356454562,0.812202536958915
"55",0.119081318551917,0.251670804713247,0.424575969976102,-0.0272503011348166,0.930786191751356,-0.435083513157657,0.196433819303252,0.0113740094095379,0.97107953834338,-0.229767644508404,0.465653330058481,-0.155020997993848,0.621827887982874,0.620730744723222,0.0541305145111241,0.10569766582199,0.736391409970945,-0.278921105848064,0.376672009883866,-0.240296795303709,0.445625230806627,-0.481438449221651,0.131199572622086,0.369059940009975,0.244074890522963,-0.145973138891257,0.642243419216426,-0.202517343373587,0.519839209016052,0.132947966956807,0.672132030969067,0.686754317870904,0.0450464169527845,0.40783321202284,0.225274816370544,0.446457522567195,0.185265276178477,0.205315868649253,0.538337412937669,0.280062515163809,0.402376739229494,1.05581425788088,0.00295272204087526,0.540781178979647,0.110632320802429,-0.0386243105443546,0.902026576394286,-0.241141653917942,0.444040656766467,0.609356735313684,0.0584533174120439,0.094323656412452,0.763825593356821,0.335465310330394,0.288864922703602,0.406691802707095,0.200197959517564,0.127770696859031,0.684167610039103,0.166395007403386,0.596589621227202,-0.0747466465145564,0.81175884972818,0.77575174271707,0.0176535168092267,0.260718663815838,0.408272332934936,-0.647981045858039,0.0448893026041446,-0.850498389231626,0.00983717800920572,-0.515033078901232,0.107185244719386
"62",0.905626928192998,0.315523995732127,0.43486776383594,0.00878452368383222,0.9825780730597,0.0723158301188783,0.86544290625596,-0.00108081021771757,0.997856305577432,0.0327228139375506,0.93517161975708,-0.00515691933076834,0.989771971991853,0.489321482694624,0.228720300534409,0.273547369732479,0.497936696100191,-0.306739472048295,0.447654586129266,-0.316604805949844,0.433309860415078,-0.282801181794576,0.483610282997819,0.173797486962498,0.666139520819513,-0.0419766259996477,0.916900214466232,0.0239382902537184,0.952549613178018,0.264762846048647,0.511751824258234,0.243208165613248,0.569580500590032,-0.0635313064350461,0.881653866147723,-0.0733966403365959,0.863452305783232,-0.0395930161813277,0.926072424904285,-0.0774727494496466,0.855953303398289,0.417005652575746,0.331708625399124,0.201231539613601,0.63773641713139,0.00986533390154979,0.98043497744045,0.0338036241552682,0.933035555168671,0.490402292912342,0.227715169896481,0.274628179950197,0.496251354380311,0.240824555794928,0.550433792841177,0.320680915062895,0.427464844978949,0.0139414430146006,0.972354082209969,0.00407610911305077,0.991915521156832,0.037879733268319,0.924984375051706,0.494478402025393,0.22395401968372,0.278704289063247,0.489924003504236,-0.480536959010792,0.237012179446028,-0.456598668757074,0.260728003291303,-0.215774112962145,0.592462882968821
"71",0.391920994251235,0.0456372867512235,0.873275745580822,0.266465162479865,0.354609897622991,-0.12487385308777,0.681044176737569,-0.0618970262208215,0.828759962358821,-0.148141666046152,0.605267813690673,0.0329078328461729,0.908428765292643,0.1279460804893,0.655163985737853,0.526860191946892,0.072053526823047,0.220827875728642,0.442115713008113,-0.107534312972045,0.707280709904,-0.193778952797376,0.499588429721021,0.0823087937380765,0.773695643714706,0.481222905195669,0.0991084850429945,-0.414606828526017,0.153297518128318,0.260395029467027,0.365546042378708,0.170511139838994,0.575022818299996,0.391339015567636,0.202449471140235,0.0629768268669489,0.835630856803729,-0.0232678129583815,0.938878571177665,0.157781685933943,0.603773289698601,0.25281993357707,0.407064134771176,0.651734045034663,0.0374316604019002,0.328362188700687,0.255495318159173,-0.0862446398253305,0.76320372458751,0.189843106710122,0.508284015746297,0.588757218167714,0.0456187425156928,0.675001857993044,0.0230832816457531,0.0127294539050507,0.96450899135812,0.233557329633692,0.416491434232073,-0.0948048590669944,0.740542959964781,-0.181049498892325,0.528007545739483,0.0950382476431271,0.739928301532509,0.493952359100719,0.0908211421220349,0.138519081990565,0.62882196624595,-0.276087746535452,0.337719893052809,0.398914111457592,0.169004401319487
"92",0.367176344305783,-0.405583730598617,0.32734489552863,-0.14599777321644,0.722801094183366,-0.425289718396043,0.332806093449682,-0.168951984007764,0.681541077997438,-0.777864281727505,0.064998279903041,-0.266746978339016,0.517812512692064,-0.514641040922065,0.215833187282504,0.278281205434861,0.499989621214392,0.259585957382177,0.529048123756458,0.236631746590853,0.565916390484596,-0.372280551128888,0.368107230344233,-0.109057310323448,0.790953036579122,0.683864936033478,0.102856383210341,-0.631866508511066,0.130714234262533,0.424278978651301,0.305853461293523,0.0197059877974259,0.963963749991403,0.279291945179603,0.523174929481849,0.256337734388279,0.557702676713792,-0.352574563331462,0.42106002356019,0.158542740057027,0.716491803133957,-0.0893513225260225,0.837730297100909,0.703570923830904,0.113205925518174,0.022954210791324,0.955485768156544,-0.608912297719742,0.144820763985098,-0.345689056914302,0.402926017281714,0.447233189442625,0.280827957653522,1.05614548716237,0.0140047994974572,-0.138836752259601,0.735854179939475,0.120749205122576,0.76917227550303,0.0977949943312524,0.812096062615917,-0.511117303388489,0.218924547399417,-0.247894062583049,0.54766709024237,0.545028183773877,0.190524193728915,0.368643267705626,0.37275125645256,-0.26322324080544,0.523325105850596,0.792922246356926,0.0602113405716353
"93",0.155132325714839,0.0473254101500079,0.905326758719021,0.0279171382628372,0.944062969016448,-0.27998340967411,0.50837782306078,0.0742496736391631,0.851996581672007,-0.902959372026114,0.0284367731817035,-0.373360677724799,0.351073205385972,-0.286059555701649,0.473797009069937,0.316658158272708,0.428198792017092,-0.0194082718871707,0.961094823961745,0.0269242634891552,0.946049148459427,-0.950284782176122,0.0215679494578214,-0.333384965851657,0.40443843804494,0.2693327481227,0.499858506621578,-0.930876510288951,0.0241789796441294,0.28874102000987,0.469692719796902,0.327308819824118,0.43995707168561,0.307900547936947,0.467329037156205,0.354233083313273,0.403616764373424,-0.622975962352004,0.146017640863211,-0.0933772680506898,0.824942140294152,-0.00607614602753979,0.988512210318077,0.596641567946817,0.16331172159598,-0.0463325353763259,0.907303530534667,-0.977209045665277,0.0183691603065729,-0.360309229340812,0.367961764575333,0.242408484633545,0.543424863166895,1.21961753029882,0.00393681173427246,0.420686087874807,0.294200641938963,0.401277815987637,0.31669691237172,0.447610351363963,0.264881591472751,-0.529598694301314,0.188678056736147,0.08730112202315,0.826380851347305,0.690018835997507,0.0894579454363153,0.313976693964487,0.432085218771959,-0.616899816324464,0.127374343438617,0.602717713974357,0.136065505683578
"98",0.265853154294217,-0.13866396704247,0.661135840621902,-0.0204053824975409,0.948497752876076,0.031176087957638,0.925870954390058,-0.224172893825513,0.479517149228882,-0.244803497424723,0.440340728760868,0.144669630547073,0.647473710253006,-0.0413807180675365,0.895792184933867,0.606336337254582,0.0613363054316836,0.11825858454493,0.708418235530881,-0.0855089267830421,0.786741706859596,-0.106139530382253,0.737080602954607,0.097283248974934,0.758273097045757,0.745000304297053,0.0231450179979289,-0.224398114927182,0.479079001102639,0.626741719752123,0.0535072790339603,-0.169840055000108,0.612884751850296,-0.0515814704551789,0.877671579516521,-0.255348981783151,0.447892364669582,-0.275979585382361,0.412398274841253,0.113493542589435,0.735025809939246,-0.0725568060251745,0.828616183133989,0.575160249296945,0.0926394791542505,0.203767511327972,0.52014654354517,-0.0206306035992107,0.947930143234341,0.182792175757976,0.563767720122622,0.830509231080095,0.0120635155517928,0.851139834679306,0.0102548977693965,-0.283333597589544,0.372515718907663,-0.165075013044614,0.601994231591624,-0.368842524372586,0.247541011270623,-0.389473127971796,0.222584562540287,-0.18605034861461,0.556872808001703,0.461666706707509,0.149975817617071,0.0209753355699956,0.947061391863425,-0.203422779357187,0.520848530635002,0.647717055322119,0.0463814220817442
