"Metabolite","Overall_pval","1902 End - 1902 Onset_ESTS","1902 End - 1902 Onset_PVALS","1902 End - 1902 PreSymp_ESTS","1902 End - 1902 PreSymp_PVALS","1902 End - Control End_ESTS","1902 End - Control End_PVALS","1902 End - Control Onset_ESTS","1902 End - Control Onset_PVALS","1902 End - Control PreSymp_ESTS","1902 End - Control PreSymp_PVALS","1902 End - WT End_ESTS","1902 End - WT End_PVALS","1902 End - WT Onset_ESTS","1902 End - WT Onset_PVALS","1902 End - WT PreSymp_ESTS","1902 End - WT PreSymp_PVALS","1902 Onset - 1902 PreSymp_ESTS","1902 Onset - 1902 PreSymp_PVALS","1902 Onset - Control Onset_ESTS","1902 Onset - Control Onset_PVALS","1902 Onset - Control PreSymp_ESTS","1902 Onset - Control PreSymp_PVALS","1902 Onset - WT Onset_ESTS","1902 Onset - WT Onset_PVALS","1902 Onset - WT PreSymp_ESTS","1902 Onset - WT PreSymp_PVALS","1902 PreSymp - Control PreSymp_ESTS","1902 PreSymp - Control PreSymp_PVALS","1902 PreSymp - WT PreSymp_ESTS","1902 PreSymp - WT PreSymp_PVALS","Control End - 1902 Onset_ESTS","Control End - 1902 Onset_PVALS","Control End - 1902 PreSymp_ESTS","Control End - 1902 PreSymp_PVALS","Control End - Control Onset_ESTS","Control End - Control Onset_PVALS","Control End - Control PreSymp_ESTS","Control End - Control PreSymp_PVALS","Control End - WT End_ESTS","Control End - WT End_PVALS","Control End - WT Onset_ESTS","Control End - WT Onset_PVALS","Control End - WT PreSymp_ESTS","Control End - WT PreSymp_PVALS","Control Onset - 1902 PreSymp_ESTS","Control Onset - 1902 PreSymp_PVALS","Control Onset - Control PreSymp_ESTS","Control Onset - Control PreSymp_PVALS","Control Onset - WT Onset_ESTS","Control Onset - WT Onset_PVALS","Control Onset - WT PreSymp_ESTS","Control Onset - WT PreSymp_PVALS","Control PreSymp - WT PreSymp_ESTS","Control PreSymp - WT PreSymp_PVALS","WT End - 1902 Onset_ESTS","WT End - 1902 Onset_PVALS","WT End - 1902 PreSymp_ESTS","WT End - 1902 PreSymp_PVALS","WT End - Control Onset_ESTS","WT End - Control Onset_PVALS","WT End - Control PreSymp_ESTS","WT End - Control PreSymp_PVALS","WT End - WT Onset_ESTS","WT End - WT Onset_PVALS","WT End - WT PreSymp_ESTS","WT End - WT PreSymp_PVALS","WT Onset - 1902 PreSymp_ESTS","WT Onset - 1902 PreSymp_PVALS","WT Onset - Control PreSymp_ESTS","WT Onset - Control PreSymp_PVALS","WT Onset - WT PreSymp_ESTS","WT Onset - WT PreSymp_PVALS"
"30",0.107877821093399,-0.43855852598157,0.0948289856558898,-0.284544760169402,0.300421832325694,0.211442208595605,0.412957204121401,-0.447040051576203,0.107848146949767,-0.403432521160062,0.123167518737643,-0.250781367509885,0.332538497929233,-0.423581295555948,0.106165767809045,0.0785711776847025,0.773251129179257,0.154013765812169,0.572917747141411,-0.00848152559463208,0.975172391195888,0.0351260048215084,0.891275783154727,0.0149772304256226,0.953517998212399,0.517129703666273,0.0645935575389544,-0.11888776099066,0.663119014012064,0.363115937854104,0.211685384379771,-0.650000734577175,0.0156367114456907,-0.495986968765006,0.075714531012197,-0.658482260171807,0.0204815680832744,-0.614874729755667,0.0216236883151516,-0.46222357610549,0.0789934307640235,-0.635023504151553,0.0179740806144055,-0.132871030910902,0.626491956211379,0.162495291406801,0.57256373775712,0.0436075304161405,0.872895463495869,0.0234587560202547,0.931407199152888,0.525611229260905,0.0742356014532914,0.482003698844764,0.083935725304383,-0.187777158471685,0.466701445926519,-0.0337633926595165,0.901413012702917,-0.196258684066317,0.47318320087521,-0.152651153650177,0.553505370423156,-0.172799928046063,0.502719212857566,0.329352545194588,0.231968961703746,0.139036535386546,0.610636365421971,0.0201487743958858,0.937498021470398,0.50215247324065,0.0723138484251221
"35",0.00627709224554361,-0.587186815493176,0.0364297158273281,-0.755652573188013,0.0123820616269407,0.169455396774462,0.53345039440717,-0.536548340506555,0.0691342807528874,-0.782736274499361,0.00647464633423861,0.0135757539781195,0.96009158210567,-0.139631472784853,0.607507888137922,-0.161307946630588,0.576008012460125,-0.168465757694837,0.559278567044909,0.050638474986621,0.860345321988311,-0.195549459006184,0.472795349427537,0.447555342708324,0.105941945652847,0.425878868862588,0.145394899167237,-0.0270837013113479,0.925018935075191,0.594344626557425,0.056760493031686,-0.756642212267639,0.00826302214232815,-0.925107969962475,0.00273331421997752,-0.706003737281018,0.0187593129224246,-0.952191671273823,0.00122704706496292,-0.155879642796343,0.566564698643162,-0.309086869559315,0.259246175778613,-0.33076334340505,0.25509907546277,-0.219104232681458,0.471845101684461,-0.246187933992805,0.394883794907026,0.396916867721703,0.173884709447121,0.375240393875967,0.221354785141027,0.621428327868773,0.0368187691264808,-0.600762569471296,0.032576650297747,-0.769228327166132,0.0110266173886972,-0.550124094484675,0.0627166477624605,-0.79631202847748,0.0056948935633922,-0.153207226762972,0.57320293948807,-0.174883700608708,0.544490977205487,-0.61602110040316,0.0383821445113623,-0.643104801714508,0.0227955296182617,-0.0216764738457355,0.939955528006353
"49",0.362617780691144,0.236850183936711,0.599577367564548,-0.0798932771271933,0.867147252240706,0.704420891683114,0.124417125001849,-0.524651851227197,0.276245658696913,-0.273563431093756,0.544540339073482,0.0808984825785441,0.857421794279069,-0.142777449655363,0.751311633264009,0.233217606574015,0.625880542723639,-0.316743461063904,0.508530766991342,-0.761502035163908,0.117598272419522,-0.510413615030468,0.261503437784667,-0.379627633592074,0.401621730735017,-0.00363257736269661,0.993930040595315,-0.193670153966563,0.685411735284632,0.313110883701208,0.535088659448028,-0.467570707746402,0.302925222356253,-0.784314168810307,0.107392810687916,-1.22907274291031,0.014053189610411,-0.97798432277687,0.0357817612977381,-0.623522409104569,0.172162997286699,-0.847198341338476,0.0667163802849208,-0.471203285109099,0.327294821215047,0.444758574100003,0.379712889917325,0.25108842013344,0.599764198745802,0.381874401571834,0.426107715921161,0.757869457801211,0.138740624595422,0.506781037667771,0.292644128937931,0.155951701358167,0.729267087602514,-0.160791759705737,0.736530832702003,-0.605550333805741,0.2102234244258,-0.3544619136723,0.433235341570674,-0.223675932233907,0.619951485620113,0.152319123995471,0.74991561010934,0.0628841725281694,0.895237646787793,-0.130785981438394,0.771563852464421,0.375995056229377,0.433197260893859
"50",0.00167006783737984,-0.382498292235694,0.369545512125609,-0.553870737880202,0.222982283762845,0.688083068267753,0.111220053529762,-0.891171105589535,0.0539674146435424,-1.06021886197051,0.0166869255168556,0.389795608708136,0.360596777434607,0.469660828195204,0.27202956443634,0.172567333309333,0.701260739473495,-0.171372445644509,0.703226374234571,-0.508672813353841,0.262217855930345,-0.677720569734818,0.116499559376279,0.852159120430897,0.0508215073858336,0.555065625545027,0.222008003445656,-0.506348124090309,0.264363262517287,0.726438071189536,0.13178600674914,-1.07058136050345,0.015736815639085,-1.24195380614796,0.00879736766098834,-1.57925417385729,0.00121046617651833,-1.74830193023826,0.00021421721340866,-0.298287459559617,0.483016873750479,-0.218422240072549,0.606871623365764,-0.51551573495842,0.255975766173277,0.337300367709332,0.478076048825586,-0.169047756380977,0.707056515442906,1.36083193378474,0.00447073741601097,1.06373843889887,0.0303420323034582,1.23278619527984,0.00925810328267118,-0.77229390094383,0.0752486297038926,-0.943666346588339,0.0419642909661002,-1.28096671429767,0.00706615930613718,-1.45001447067865,0.00155796673948075,0.0798652194870675,0.850506340865751,-0.217228275398803,0.629391733820075,-1.02353156607541,0.0282139502369869,-1.52987969016572,0.000925992610227279,-0.297093494885871,0.509904083997612
"55",0.0354608128083808,0.730804658894433,0.0134565494835735,0.225000104299131,0.4537861875586,0.650018939775086,0.0264948273331469,0.25089536934689,0.404018788271667,0.456925759032136,0.112003502740457,0.381539418190548,0.181965011198615,0.924404249682011,0.00230449774886555,0.0310236402788848,0.91738507500129,-0.505804554595302,0.0977500017930108,-0.479909289547543,0.115416393536796,-0.273878899862297,0.334832963860197,0.193599590787578,0.493872717514738,-0.699781018615548,0.0244683481281149,0.231925654733005,0.440132579681452,-0.193976464020246,0.539508368305869,0.0807857191193477,0.774620048127599,-0.425018835475955,0.161553357734118,-0.399123570428195,0.187881093206286,-0.19309318074295,0.494995293791235,-0.268479521584538,0.344315523594981,0.274385309906926,0.33395270148304,-0.618995299496201,0.0448318949197835,-0.0258952650477593,0.934534749943726,0.206030389685246,0.492438966401558,0.673508880335121,0.0299197036319317,-0.219871729068005,0.487120670572755,-0.425902118753251,0.160709436399706,0.349265240703886,0.220765734601541,-0.156539313891417,0.601433404046936,-0.130644048843657,0.662684715397346,0.0753863408415882,0.789298926753199,0.542864831491464,0.0609679671780445,-0.350515777911663,0.246058532263698,-0.699404145382881,0.0245397288108294,-0.467478490649876,0.104264004531416,-0.893380609403127,0.00497748090103207
"62",0.0771124988078521,0.36764398628809,0.343594350418137,0.264355736866213,0.519287634439438,1.04727192905483,0.00990363697422834,0.147885538889518,0.717872578156825,0.298663964961087,0.440599815344319,0.553504329162992,0.157422946764193,0.995315671842952,0.0137914507546386,0.970325464070552,0.0226605541045275,-0.103288249421878,0.800673192174165,-0.219758447398573,0.591784922555557,-0.0689800213270039,0.858027817199953,0.627671685554862,0.110397261446881,0.602681477782461,0.147005277129361,0.0343082280948737,0.933136798414378,0.705969727204339,0.108356878689451,-0.679627942766735,0.084903397373051,-0.782916192188613,0.0623371979894252,-0.899386390165308,0.0336812573143907,-0.748607964093739,0.0589006022291479,-0.493767599891834,0.205833952585685,-0.0519562572118733,0.892807974823877,-0.0769464649842738,0.850776706379808,0.116470197976695,0.787107261319254,0.150778426071569,0.71260732167111,0.847430132953434,0.044573651556249,0.822439925181034,0.0631926675296164,0.671661499109465,0.107387604616187,-0.185860342874901,0.630337502209077,-0.289148592296779,0.481155609437273,-0.405618790273474,0.32481850475266,-0.254840364201905,0.510000219855584,0.441811342679961,0.256490493512159,0.41682113490756,0.311834538246011,-0.730959934976739,0.0808139144517035,-0.696651706881866,0.0777151349122727,-0.0249902077724005,0.951268616116092
"71",0.137754602055089,-0.402535639198132,0.29402905370821,-0.173909121641443,0.666875677916062,0.367342988798838,0.337596188846013,-0.55080249285379,0.178210462478496,-0.705438954442151,0.0705671536070244,-0.0654888767162971,0.863336491950147,-0.0981140493173823,0.796556306951419,0.300937682614103,0.457631989358776,0.228626517556689,0.571878719659697,-0.148266853655658,0.713532919666882,-0.302903315244018,0.428076666901141,0.30442158988075,0.425787301269901,0.703473321812236,0.0882124904170929,-0.531529832800708,0.193463744443211,0.474846804255546,0.268684068200166,-0.76987862799697,0.0494867087147146,-0.541252110440281,0.185648022266521,-0.918145481652628,0.0283539643446583,-1.07278194324099,0.00763463459827179,-0.432831865515135,0.25981356548019,-0.46545703811622,0.226297581359265,-0.0664053061847346,0.869291501694553,0.376893371212347,0.37833894760882,-0.15463646158836,0.701829373524057,0.452688443536408,0.266387065911407,0.851740175467894,0.0517791942548984,1.00637663705625,0.017019457567921,-0.337046762481835,0.378418511510704,-0.108420244925146,0.788250962224879,-0.485313616137493,0.234100946571746,-0.639950077725854,0.0994558452894288,-0.0326251726010852,0.931652879447299,0.3664265593304,0.366760651779002,-0.0757950723240607,0.851021367323934,-0.607324905124769,0.117192576279929,0.399051731931486,0.326204434415312
"92",0.0247826410926815,-0.625155628127655,0.118510394277418,-0.678297550925527,0.11059187774527,0.0178317014914654,0.963810984775039,-0.600149480936905,0.156307869298536,-1.15698622392452,0.00556779917377325,-0.351006217783302,0.374682974962654,-0.967262355051474,0.0184195658574283,0.166637364260794,0.689695718322079,-0.0531419227978717,0.898568731525585,0.0250061471907505,0.952165861741312,-0.531830595796864,0.181947757475165,-0.342106726923818,0.38677114393032,0.791792992388449,0.064335879991139,-0.478688672998992,0.25554377419058,0.844934915186321,0.0612728722915053,-0.642987329619121,0.108737561539262,-0.696129252416993,0.101875758172197,-0.61798118242837,0.144732552796787,-1.17481792541598,0.00495142998992274,-0.368837919274768,0.351206295008009,-0.985094056542939,0.0165326269813578,0.148805662769328,0.721368079760708,-0.0781480699886221,0.858871716575311,-0.556836742987614,0.187481060379237,-0.367112874114569,0.381293015630342,0.766786845197699,0.0879576686779161,1.32362358818531,0.00303732588561543,-0.274149410344353,0.487064282606794,-0.327291333142225,0.434517882715163,-0.249143263153603,0.551137086590742,-0.805980006141217,0.0467124272746111,-0.616256137268172,0.123651030313997,0.517643582044096,0.219641440776522,0.288964804125947,0.48976639563558,-0.189723868873045,0.629884350033181,1.13389971931227,0.0098144828924423
"93",0.134712933094196,-0.545497120878536,0.184754120067995,-0.328834103624721,0.446858466459912,0.0390272173216567,0.923382147832878,-0.48946767920551,0.260064591520171,-1.09838779872145,0.0101429591768059,-0.599497708969956,0.146068632861729,-0.727270005983736,0.0800537971887078,-0.0563744522550351,0.895799200571281,0.216663017253815,0.615354060413824,0.0560294416730263,0.896433137488251,-0.55289067784291,0.179029759208147,-0.1817728851052,0.654669227272358,0.489122668623501,0.26039421746576,-0.769553695096725,0.0807407105953141,0.272459651369686,0.54922221265339,-0.584524338200193,0.156084249647874,-0.367861320946378,0.395325556244913,-0.528494896527167,0.22470658993414,-1.1374150160431,0.00797329210195481,-0.638524926291613,0.122370708671673,-0.766297223305393,0.0658125666239515,-0.0954016695766919,0.824637763496958,0.160633575580789,0.723532319154156,-0.608920119515936,0.163376642230642,-0.237802326778226,0.581462100164619,0.433093226950475,0.343086496822777,1.04201334646641,0.0202466916965365,0.0540005880914199,0.894142486970421,0.270663605345235,0.53066189528021,0.110030029764446,0.798314811117261,-0.49889008975149,0.224142860455609,-0.12777229701378,0.753026722697745,0.543123256714921,0.212421563482961,0.398435902359014,0.35769235380651,-0.37111779273771,0.363446795254658,0.670895553728701,0.12579475938856
"98",0.0783427003347985,-0.589646606722802,0.106537950697917,-0.287473305296758,0.451068672735607,0.286421429526694,0.426018743012566,-0.51621472152684,0.180075338204968,-0.74703007321734,0.0432538149513928,-0.160803059750659,0.653869683736752,-0.583391254679529,0.110157415448457,0.14358429627537,0.705690322943624,0.302173301426044,0.428470163184423,0.073431885195962,0.846728670754481,-0.157383466494538,0.660744210554573,0.00625535204327288,0.986061908256113,0.733230902998171,0.0602982849313744,-0.459556767920582,0.231398775059854,0.431057601572127,0.28581225098919,-0.876068036249496,0.0190643176375747,-0.573894734823452,0.137389871915723,-0.802636151053534,0.0407665778178844,-1.03345150274403,0.00645716993538451,-0.447224489277353,0.217045688134678,-0.869812684206223,0.0198667740839046,-0.142837133251324,0.70714775009151,0.228741416230082,0.56870766376952,-0.2308153516905,0.544491046109546,-0.0671765331526891,0.859636873465002,0.659799017802209,0.106255464381949,0.89061436949271,0.0241812175365022,-0.428843546972143,0.236101972650248,-0.126670245546099,0.738949807740007,-0.355411661776181,0.352568996002792,-0.586227013466681,0.108504187620848,-0.42258819492887,0.242861853404416,0.304387356026028,0.425127104465641,0.295917949382771,0.438001338396343,-0.163638818537811,0.648192033597742,0.726975550954899,0.0624050691380244
